gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,rule,mode,scenario,N_catalogues,N_parent,correct,wrong,indeterminate,both_retained,both_rejected,true_retained,raw_fitting_empty_fraction_mean,near_best_true_mean,near_best_other_mean,correct_rate,correct_wilson_lo,correct_wilson_hi,wrong_rate,wrong_wilson_lo,wrong_wilson_hi,indeterminate_rate,indeterminate_wilson_lo,indeterminate_wilson_hi,true_retained_rate,true_retained_wilson_lo,true_retained_wilson_hi,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass,evaluation_family
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,covariates_only66,uniform_white,1000,1000,15,1,984,984,0,999,0.0,13.103,14.413,0.015,0.009110978804081668,0.024600976926906798,0.001,0.00017654637062607809,0.0056425585979579355,0.984,0.97416793978826,0.9901277579977227,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,covariates_only66,clustered_correlated,1000,1000,18,1,981,981,0,999,0.0,13.091,14.447,0.018,0.011415740009567788,0.028273255170507345,0.001,0.00017654637062607809,0.0056425585979579355,0.981,0.9705155440876868,0.9878031142492091,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,covariates_only66,sparse_floor,1000,1000,18,3,979,978,1,996,0.0,13.102,14.402,0.018,0.011415740009567788,0.028273255170507345,0.003,0.0010207838811386186,0.008783014053503173,0.979,0.9681097049387625,0.9862242604320758,0.996,0.9897604437227377,0.9984434118595916,False,True,False,False,False,False,fitted_family
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,envelope,covariates_only66,uniform_white,1000,1000,13,0,987,987,0,1000,0.0,13.103,14.413,0.013,0.0076128203893510256,0.022114442375579666,0.0,2.168404344971009e-19,0.0038267584855551234,0.987,0.9778855576244203,0.9923871796106489,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,envelope,covariates_only66,clustered_correlated,1000,1000,14,0,986,986,0,1000,0.0,13.091,14.447,0.014,0.00835757513042392,0.02336203411753566,0.0,2.168404344971009e-19,0.0038267584855551234,0.986,0.9766379658824644,0.9916424248695761,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,envelope,covariates_only66,sparse_floor,1000,1000,10,0,990,989,1,999,0.0,13.102,14.402,0.01,0.005440754445529249,0.018309468870314774,0.0,2.168404344971009e-19,0.0038267584855551234,0.99,0.9816905311296853,0.9945592455544707,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,baseline,covariates_only66,uniform_white,1000,1000,12,0,988,988,0,1000,0.0,13.044,14.51,0.012,0.006877647806403522,0.02085726847549828,0.0,2.168404344971009e-19,0.0038267584855551234,0.988,0.9791427315245017,0.9931223521935965,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,baseline,covariates_only66,clustered_correlated,1000,1000,17,1,982,982,0,999,0.0,13.047,14.545,0.017,0.010640689856816328,0.027055958840229925,0.001,0.00017654637062607809,0.0056425585979579355,0.982,0.9717267448294926,0.9885842599904322,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,baseline,covariates_only66,sparse_floor,1000,1000,16,0,984,984,0,1000,0.0,13.043,14.53,0.016,0.009872242002277388,0.02583206021173997,0.0,2.168404344971009e-19,0.0038267584855551234,0.984,0.97416793978826,0.9901277579977227,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,envelope,covariates_only66,uniform_white,1000,1000,8,0,992,992,0,1000,0.0,13.044,14.51,0.008,0.004059195818806103,0.015706334530980144,0.0,2.168404344971009e-19,0.0038267584855551234,0.992,0.9842936654690199,0.995940804181194,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,envelope,covariates_only66,clustered_correlated,1000,1000,8,0,992,992,0,1000,0.0,13.047,14.545,0.008,0.004059195818806103,0.015706334530980144,0.0,2.168404344971009e-19,0.0038267584855551234,0.992,0.9842936654690199,0.995940804181194,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,40,fitted_grid,fitted_prior,1,325001001,envelope,covariates_only66,sparse_floor,1000,1000,7,0,993,993,0,1000,0.0,13.043,14.53,0.007,0.0033948684009907646,0.014378315465766588,0.0,2.168404344971009e-19,0.0038267584855551234,0.993,0.9856216845342334,0.9966051315990092,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,baseline,covariates_only66,uniform_white,1000,1000,11,1,988,988,0,999,0.0,13.036,14.478,0.011,0.006153174098086638,0.019589395700786275,0.001,0.00017654637062607809,0.0056425585979579355,0.988,0.9791427315245017,0.9931223521935965,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,baseline,covariates_only66,clustered_correlated,1000,1000,16,1,983,983,0,999,0.0,13.046,14.525,0.016,0.009872242002277388,0.02583206021173997,0.001,0.00017654637062607809,0.0056425585979579355,0.983,0.9729440411597701,0.9893593101431837,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,baseline,covariates_only66,sparse_floor,1000,1000,19,1,980,980,0,999,0.0,13.038,14.482,0.019,0.012196885750790904,0.02948445591231312,0.001,0.00017654637062607809,0.0056425585979579355,0.98,0.9693099947702822,0.987016317083585,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,envelope,covariates_only66,uniform_white,1000,1000,6,0,994,994,0,1000,0.0,13.036,14.478,0.006,0.0027526691418763745,0.01302816824185209,0.0,2.168404344971009e-19,0.0038267584855551234,0.994,0.9869718317581478,0.9972473308581237,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,envelope,covariates_only66,clustered_correlated,1000,1000,9,0,991,991,0,1000,0.0,13.046,14.525,0.009,0.004742060667477063,0.01701581616533807,0.0,2.168404344971009e-19,0.0038267584855551234,0.991,0.982984183834662,0.9952579393325229,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,80,fitted_grid,fitted_prior,2,325002001,envelope,covariates_only66,sparse_floor,1000,1000,7,0,993,993,0,1000,0.0,13.038,14.482,0.007,0.0033948684009907646,0.014378315465766588,0.0,2.168404344971009e-19,0.0038267584855551234,0.993,0.9856216845342334,0.9966051315990092,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,baseline,covariates_only66,uniform_white,1000,1000,14,0,986,986,0,1000,0.0,13.068,14.334,0.014,0.00835757513042392,0.02336203411753566,0.0,2.168404344971009e-19,0.0038267584855551234,0.986,0.9766379658824644,0.9916424248695761,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,baseline,covariates_only66,clustered_correlated,1000,1000,15,0,985,984,1,999,0.0,13.07,14.348,0.015,0.009110978804081668,0.024600976926906798,0.0,2.168404344971009e-19,0.0038267584855551234,0.985,0.9753990230730932,0.9908890211959184,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,baseline,covariates_only66,sparse_floor,1000,1000,27,0,973,973,0,1000,0.0,13.063,14.321,0.027,0.018621382774294995,0.03899873075304015,0.0,2.168404344971009e-19,0.0038267584855551234,0.973,0.9610012692469598,0.9813786172257051,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,envelope,covariates_only66,uniform_white,1000,1000,8,0,992,992,0,1000,0.0,13.068,14.334,0.008,0.004059195818806103,0.015706334530980144,0.0,2.168404344971009e-19,0.0038267584855551234,0.992,0.9842936654690199,0.995940804181194,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,envelope,covariates_only66,clustered_correlated,1000,1000,14,1,985,985,0,999,0.0,13.07,14.348,0.014,0.00835757513042392,0.02336203411753566,0.001,0.00017654637062607809,0.0056425585979579355,0.985,0.9753990230730932,0.9908890211959184,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.075,,60,fitted_grid,outside_inner_prior,3,325003001,envelope,covariates_only66,sparse_floor,1000,1000,6,0,994,994,0,1000,0.0,13.063,14.321,0.006,0.0027526691418763745,0.01302816824185209,0.0,2.168404344971009e-19,0.0038267584855551234,0.994,0.9869718317581478,0.9972473308581237,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
