realization,gravity,beta,f,prior,seed,beta_family,companion_family,mode,scenario,N_catalogues,difference_direction,correct_gained,correct_lost,correct_difference,wrong_gained,wrong_lost,wrong_difference,indeterminate_gained,indeterminate_lost,indeterminate_difference,true_retained_gained,true_retained_lost,true_retained_difference,baseline_double_rejected_to_correct,baseline_double_rejected_to_wrong,baseline_correct_to_both_retained
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,no_diagnostics66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,full34,uniform_white,1000,envelope_minus_baseline,0,2,-0.0020000000000000018,0,0,0.0,2,0,0.0019999999999999983,0,0,0.0,0,0,2
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,full34,clustered_correlated,1000,envelope_minus_baseline,0,3,-0.0030000000000000027,0,0,0.0,3,0,0.003000000000000001,0,0,0.0,0,0,3
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,full34,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,covariates_only66,uniform_white,1000,envelope_minus_baseline,0,2,-0.002,0,1,-0.001,3,0,0.0030000000000000027,1,0,0.0010000000000000009,0,0,2
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,covariates_only66,clustered_correlated,1000,envelope_minus_baseline,0,4,-0.003999999999999998,0,1,-0.001,5,0,0.0050000000000000044,1,0,0.0010000000000000009,0,0,4
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,covariates_only66,sparse_floor,1000,envelope_minus_baseline,0,8,-0.007999999999999998,0,3,-0.003,11,0,0.01100000000000001,3,0,0.0030000000000000027,0,0,8
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,conditional66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,conditional66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.0,,325000001,fitted_grid,pure,conditional66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,no_diagnostics66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,full34,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,full34,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,full34,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,covariates_only66,uniform_white,1000,envelope_minus_baseline,0,4,-0.004,0,0,0.0,4,0,0.0040000000000000036,0,0,0.0,0,0,4
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,covariates_only66,clustered_correlated,1000,envelope_minus_baseline,0,9,-0.009000000000000001,0,1,-0.001,10,0,0.010000000000000009,1,0,0.0010000000000000009,0,0,9
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,covariates_only66,sparse_floor,1000,envelope_minus_baseline,0,9,-0.009000000000000001,0,0,0.0,9,0,0.009000000000000008,0,0,0.0,0,0,9
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,conditional66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,conditional66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,40,325001001,fitted_grid,fitted_prior,conditional66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,80,325002001,fitted_grid,fitted_prior,full66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,80,325002001,fitted_grid,fitted_prior,full66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,80,325002001,fitted_grid,fitted_prior,full66,sparse_floor,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,80,325002001,fitted_grid,fitted_prior,no_diagnostics66,uniform_white,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1,Newton,1.0,0.075,80,325002001,fitted_grid,fitted_prior,no_diagnostics66,clustered_correlated,1000,envelope_minus_baseline,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
