mode,gravity,beta,component,scenario,N,effective_rows,max_weight,nonempty_bins,smoothing_mass
full66,Newton,1.0,pure,uniform_white,20000,19999.999999534222,5.000012973098411e-05,456,4.999750012615808e-05
full66,Newton,1.0,pure,clustered_correlated,20000,19999.999999534222,5.000012973098411e-05,442,4.999750012615808e-05
full66,Newton,1.0,pure,sparse_floor,20000,19999.999999534222,5.000012973098411e-05,454,4.999750012615808e-05
full66,Newton,1.0,comp40,uniform_white,20000,19999.999999348645,5.0000147843135137e-05,1468,4.9997500126621976e-05
full66,Newton,1.0,comp40,clustered_correlated,20000,19999.999999348645,5.0000147843135137e-05,1467,4.9997500126621976e-05
full66,Newton,1.0,comp40,sparse_floor,20000,19999.999999348645,5.0000147843135137e-05,1481,4.9997500126621976e-05
full66,Newton,1.0,comp80,uniform_white,20000,19999.999999347154,5.000014719170231e-05,1492,4.99975001266257e-05
full66,Newton,1.0,comp80,clustered_correlated,20000,19999.999999347154,5.000014719170231e-05,1482,4.99975001266257e-05
full66,Newton,1.0,comp80,sparse_floor,20000,19999.999999347154,5.000014719170231e-05,1503,4.99975001266257e-05
full66,Newton,1.3,pure,uniform_white,20000,19068.16969728826,9.533805346662802e-05,456,5.244066815044419e-05
full66,Newton,1.3,pure,clustered_correlated,20000,19068.16969728826,9.533805346662802e-05,442,5.244066815044419e-05
full66,Newton,1.3,pure,sparse_floor,20000,19068.16969728826,9.533805346662802e-05,454,5.244066815044419e-05
full66,Newton,1.3,comp40,uniform_white,20000,19054.717240065827,0.00010077029475216537,1468,5.247768884277092e-05
full66,Newton,1.3,comp40,clustered_correlated,20000,19054.717240065827,0.00010077029475216537,1467,5.247768884277092e-05
full66,Newton,1.3,comp40,sparse_floor,20000,19054.717240065827,0.00010077029475216537,1481,5.247768884277092e-05
full66,Newton,1.3,comp80,uniform_white,20000,19024.84280892619,9.684490820123554e-05,1492,5.2560089455319086e-05
full66,Newton,1.3,comp80,clustered_correlated,20000,19024.84280892619,9.684490820123554e-05,1482,5.2560089455319086e-05
full66,Newton,1.3,comp80,sparse_floor,20000,19024.84280892619,9.684490820123554e-05,1503,5.2560089455319086e-05
full66,Newton,1.6,pure,uniform_white,20000,16485.05337018826,0.00017332683584716886,456,6.065733123297421e-05
full66,Newton,1.6,pure,clustered_correlated,20000,16485.05337018826,0.00017332683584716886,442,6.065733123297421e-05
full66,Newton,1.6,pure,sparse_floor,20000,16485.05337018826,0.00017332683584716886,454,6.065733123297421e-05
full66,Newton,1.6,comp40,uniform_white,20000,16435.619728319576,0.0001935091302820134,1468,6.083976003150111e-05
full66,Newton,1.6,comp40,clustered_correlated,20000,16435.619728319576,0.0001935091302820134,1467,6.083976003150111e-05
full66,Newton,1.6,comp40,sparse_floor,20000,16435.619728319576,0.0001935091302820134,1481,6.083976003150111e-05
full66,Newton,1.6,comp80,uniform_white,20000,16320.722156256757,0.00017844457542644796,1492,6.126804453760787e-05
full66,Newton,1.6,comp80,clustered_correlated,20000,16320.722156256757,0.00017844457542644796,1482,6.126804453760787e-05
full66,Newton,1.6,comp80,sparse_floor,20000,16320.722156256757,0.00017844457542644796,1503,6.126804453760787e-05
full66,QUMOND,1.0,pure,uniform_white,20000,19652.436022413527,7.285938075111129e-05,597,5.088168800913804e-05
full66,QUMOND,1.0,pure,clustered_correlated,20000,19652.436022413527,7.285938075111129e-05,600,5.088168800913804e-05
full66,QUMOND,1.0,pure,sparse_floor,20000,19652.436022413527,7.285938075111129e-05,608,5.088168800913804e-05
full66,QUMOND,1.0,comp40,uniform_white,20000,19629.168416465774,7.394567727683593e-05,1548,5.094199798923786e-05
full66,QUMOND,1.0,comp40,clustered_correlated,20000,19629.168416465774,7.394567727683593e-05,1533,5.094199798923786e-05
full66,QUMOND,1.0,comp40,sparse_floor,20000,19629.168416465774,7.394567727683593e-05,1544,5.094199798923786e-05
full66,QUMOND,1.0,comp80,uniform_white,20000,19626.30507093738,7.39552099185076e-05,1545,5.094942970447451e-05
full66,QUMOND,1.0,comp80,clustered_correlated,20000,19626.30507093738,7.39552099185076e-05,1534,5.094942970447451e-05
full66,QUMOND,1.0,comp80,sparse_floor,20000,19626.30507093738,7.39552099185076e-05,1567,5.094942970447451e-05
full66,QUMOND,1.3,pure,uniform_white,20000,19310.65234958326,7.701671541635023e-05,597,5.178220806266636e-05
full66,QUMOND,1.3,pure,clustered_correlated,20000,19310.65234958326,7.701671541635023e-05,600,5.178220806266636e-05
full66,QUMOND,1.3,pure,sparse_floor,20000,19310.65234958326,7.701671541635023e-05,608,5.178220806266636e-05
full66,QUMOND,1.3,comp40,uniform_white,20000,19332.14486188471,7.503843358338286e-05,1548,5.172464216990893e-05
full66,QUMOND,1.3,comp40,clustered_correlated,20000,19332.14486188471,7.503843358338286e-05,1533,5.172464216990893e-05
full66,QUMOND,1.3,comp40,sparse_floor,20000,19332.14486188471,7.503843358338286e-05,1544,5.172464216990893e-05
full66,QUMOND,1.3,comp80,uniform_white,20000,19330.24894914232,7.548611503613706e-05,1545,5.1729715065532156e-05
full66,QUMOND,1.3,comp80,clustered_correlated,20000,19330.24894914232,7.548611503613706e-05,1534,5.1729715065532156e-05
full66,QUMOND,1.3,comp80,sparse_floor,20000,19330.24894914232,7.548611503613706e-05,1567,5.1729715065532156e-05
full66,QUMOND,1.6,pure,uniform_white,20000,17365.52790583076,0.00010406339694091923,597,5.758203398068148e-05
full66,QUMOND,1.6,pure,clustered_correlated,20000,17365.52790583076,0.00010406339694091923,600,5.758203398068148e-05
full66,QUMOND,1.6,pure,sparse_floor,20000,17365.52790583076,0.00010406339694091923,608,5.758203398068148e-05
full66,QUMOND,1.6,comp40,uniform_white,20000,17454.067032731942,0.0001011474241316133,1548,5.728995472345013e-05
full66,QUMOND,1.6,comp40,clustered_correlated,20000,17454.067032731942,0.0001011474241316133,1533,5.728995472345013e-05
full66,QUMOND,1.6,comp40,sparse_floor,20000,17454.067032731942,0.0001011474241316133,1544,5.728995472345013e-05
full66,QUMOND,1.6,comp80,uniform_white,20000,17461.250369347315,0.00010240028641983938,1545,5.726638771342831e-05
full66,QUMOND,1.6,comp80,clustered_correlated,20000,17461.250369347315,0.00010240028641983938,1534,5.726638771342831e-05
full66,QUMOND,1.6,comp80,sparse_floor,20000,17461.250369347315,0.00010240028641983938,1567,5.726638771342831e-05
full34,Newton,1.0,pure,uniform_white,20000,19999.999999534222,5.000012973098411e-05,433,4.999750012615808e-05
full34,Newton,1.0,pure,clustered_correlated,20000,19999.999999534222,5.000012973098411e-05,434,4.999750012615808e-05
full34,Newton,1.0,pure,sparse_floor,20000,19999.999999534222,5.000012973098411e-05,422,4.999750012615808e-05
full34,Newton,1.0,comp40,uniform_white,20000,19999.999999348645,5.0000147843135137e-05,1538,4.9997500126621976e-05
full34,Newton,1.0,comp40,clustered_correlated,20000,19999.999999348645,5.0000147843135137e-05,1566,4.9997500126621976e-05
full34,Newton,1.0,comp40,sparse_floor,20000,19999.999999348645,5.0000147843135137e-05,1556,4.9997500126621976e-05
full34,Newton,1.0,comp80,uniform_white,20000,19999.999999347154,5.000014719170231e-05,1561,4.99975001266257e-05
full34,Newton,1.0,comp80,clustered_correlated,20000,19999.999999347154,5.000014719170231e-05,1598,4.99975001266257e-05
full34,Newton,1.0,comp80,sparse_floor,20000,19999.999999347154,5.000014719170231e-05,1581,4.99975001266257e-05
full34,Newton,1.3,pure,uniform_white,20000,19068.16969728826,9.533805346662802e-05,433,5.244066815044419e-05
full34,Newton,1.3,pure,clustered_correlated,20000,19068.16969728826,9.533805346662802e-05,434,5.244066815044419e-05
full34,Newton,1.3,pure,sparse_floor,20000,19068.16969728826,9.533805346662802e-05,422,5.244066815044419e-05
full34,Newton,1.3,comp40,uniform_white,20000,19054.717240065827,0.00010077029475216537,1538,5.247768884277092e-05
full34,Newton,1.3,comp40,clustered_correlated,20000,19054.717240065827,0.00010077029475216537,1566,5.247768884277092e-05
full34,Newton,1.3,comp40,sparse_floor,20000,19054.717240065827,0.00010077029475216537,1556,5.247768884277092e-05
full34,Newton,1.3,comp80,uniform_white,20000,19024.84280892619,9.684490820123554e-05,1561,5.2560089455319086e-05
full34,Newton,1.3,comp80,clustered_correlated,20000,19024.84280892619,9.684490820123554e-05,1598,5.2560089455319086e-05
full34,Newton,1.3,comp80,sparse_floor,20000,19024.84280892619,9.684490820123554e-05,1581,5.2560089455319086e-05
full34,Newton,1.6,pure,uniform_white,20000,16485.05337018826,0.00017332683584716886,433,6.065733123297421e-05
full34,Newton,1.6,pure,clustered_correlated,20000,16485.05337018826,0.00017332683584716886,434,6.065733123297421e-05
full34,Newton,1.6,pure,sparse_floor,20000,16485.05337018826,0.00017332683584716886,422,6.065733123297421e-05
full34,Newton,1.6,comp40,uniform_white,20000,16435.619728319576,0.0001935091302820134,1538,6.083976003150111e-05
full34,Newton,1.6,comp40,clustered_correlated,20000,16435.619728319576,0.0001935091302820134,1566,6.083976003150111e-05
full34,Newton,1.6,comp40,sparse_floor,20000,16435.619728319576,0.0001935091302820134,1556,6.083976003150111e-05
full34,Newton,1.6,comp80,uniform_white,20000,16320.722156256757,0.00017844457542644796,1561,6.126804453760787e-05
full34,Newton,1.6,comp80,clustered_correlated,20000,16320.722156256757,0.00017844457542644796,1598,6.126804453760787e-05
full34,Newton,1.6,comp80,sparse_floor,20000,16320.722156256757,0.00017844457542644796,1581,6.126804453760787e-05
full34,QUMOND,1.0,pure,uniform_white,20000,19652.436022413527,7.285938075111129e-05,534,5.088168800913804e-05
full34,QUMOND,1.0,pure,clustered_correlated,20000,19652.436022413527,7.285938075111129e-05,538,5.088168800913804e-05
full34,QUMOND,1.0,pure,sparse_floor,20000,19652.436022413527,7.285938075111129e-05,554,5.088168800913804e-05
full34,QUMOND,1.0,comp40,uniform_white,20000,19629.168416465774,7.394567727683593e-05,1606,5.094199798923786e-05
full34,QUMOND,1.0,comp40,clustered_correlated,20000,19629.168416465774,7.394567727683593e-05,1627,5.094199798923786e-05
full34,QUMOND,1.0,comp40,sparse_floor,20000,19629.168416465774,7.394567727683593e-05,1609,5.094199798923786e-05
full34,QUMOND,1.0,comp80,uniform_white,20000,19626.30507093738,7.39552099185076e-05,1593,5.094942970447451e-05
full34,QUMOND,1.0,comp80,clustered_correlated,20000,19626.30507093738,7.39552099185076e-05,1620,5.094942970447451e-05
full34,QUMOND,1.0,comp80,sparse_floor,20000,19626.30507093738,7.39552099185076e-05,1607,5.094942970447451e-05
full34,QUMOND,1.3,pure,uniform_white,20000,19310.65234958326,7.701671541635023e-05,534,5.178220806266636e-05
full34,QUMOND,1.3,pure,clustered_correlated,20000,19310.65234958326,7.701671541635023e-05,538,5.178220806266636e-05
full34,QUMOND,1.3,pure,sparse_floor,20000,19310.65234958326,7.701671541635023e-05,554,5.178220806266636e-05
full34,QUMOND,1.3,comp40,uniform_white,20000,19332.14486188471,7.503843358338286e-05,1606,5.172464216990893e-05
full34,QUMOND,1.3,comp40,clustered_correlated,20000,19332.14486188471,7.503843358338286e-05,1627,5.172464216990893e-05
full34,QUMOND,1.3,comp40,sparse_floor,20000,19332.14486188471,7.503843358338286e-05,1609,5.172464216990893e-05
full34,QUMOND,1.3,comp80,uniform_white,20000,19330.24894914232,7.548611503613706e-05,1593,5.1729715065532156e-05
full34,QUMOND,1.3,comp80,clustered_correlated,20000,19330.24894914232,7.548611503613706e-05,1620,5.1729715065532156e-05
full34,QUMOND,1.3,comp80,sparse_floor,20000,19330.24894914232,7.548611503613706e-05,1607,5.1729715065532156e-05
full34,QUMOND,1.6,pure,uniform_white,20000,17365.52790583076,0.00010406339694091923,534,5.758203398068148e-05
full34,QUMOND,1.6,pure,clustered_correlated,20000,17365.52790583076,0.00010406339694091923,538,5.758203398068148e-05
