gravity,role,realization,component,beta,N,effective_rows,max_weight
Newton,calibration,0,comp40,1.0,20000,19999.99999932528,5.000015122057909e-05
Newton,calibration,0,comp40,1.3,20000,19028.96225321075,9.484928140478272e-05
Newton,calibration,0,comp40,1.6,20000,16355.743141207877,0.00017120076293424398
Newton,calibration,0,comp40,1.15,20000,19758.211934897732,6.928380249312872e-05
Newton,calibration,0,comp40,1.45,20000,17859.06432384767,0.00012823888773831556
Newton,calibration,0,comp80,1.0,20000,19999.99999940415,5.000014341612782e-05
Newton,calibration,0,comp80,1.3,20000,19052.17335813314,9.505659215203606e-05
Newton,calibration,0,comp80,1.6,20000,16428.225466851076,0.00017216443220492532
Newton,calibration,0,comp80,1.15,20000,19764.28790528619,6.934786576364021e-05
Newton,calibration,0,comp80,1.45,20000,17906.373418531937,0.00012872055305242566
Newton,calibration,0,pure,1.0,20000,19999.99999951382,5.000013137732381e-05
Newton,calibration,0,pure,1.3,20000,19049.08034111114,9.731414024878283e-05
Newton,calibration,0,pure,1.6,20000,16421.232946892545,0.0001804156130221488
Newton,calibration,0,pure,1.15,20000,19763.575908399533,7.016667675407085e-05
Newton,calibration,0,pure,1.45,20000,17900.38635681668,0.0001333273189009753
Newton,calibration,1,comp40,1.0,20000,19999.999999312226,5.000014945907365e-05
Newton,calibration,1,comp40,1.3,20000,19045.911168838236,9.688582215578023e-05
Newton,calibration,1,comp40,1.6,20000,16407.31082882158,0.00017879353423731469
Newton,calibration,1,comp40,1.15,20000,19762.652033870527,7.001522170165194e-05
Newton,calibration,1,comp40,1.45,20000,17893.3314470753,0.00013243681312762745
Newton,calibration,1,comp80,1.0,20000,19999.999999369782,5.0000146580600673e-05
Newton,calibration,1,comp80,1.3,20000,19029.325726017898,9.61575694082312e-05
Newton,calibration,1,comp80,1.6,20000,16348.21388456701,0.00017595891603666453
Newton,calibration,1,comp80,1.15,20000,19758.72916817263,6.975920827504484e-05
Newton,calibration,1,comp80,1.45,20000,17856.801405221704,0.00013090333229569758
Newton,calibration,1,pure,1.0,20000,19999.999999525426,5.0000128783870215e-05
Newton,calibration,1,pure,1.3,20000,19052.344396626562,9.866513647554148e-05
Newton,calibration,1,pure,1.6,20000,16417.510443618376,0.00018548571227183376
Newton,calibration,1,pure,1.15,20000,19764.871568634237,7.065084561820157e-05
Newton,calibration,1,pure,1.45,20000,17902.931261375714,0.00013612167528202787
Newton,calibration,2,comp40,1.0,20000,19999.9999993414,5.000014729485169e-05
Newton,calibration,2,comp40,1.3,20000,19048.823184150926,9.768654589876227e-05
Newton,calibration,2,comp40,1.6,20000,16405.407199372785,0.00018178741754006734
Newton,calibration,2,comp40,1.15,20000,19763.81555309086,7.03021596549986e-05
Newton,calibration,2,comp40,1.45,20000,17895.84957225391,0.00013409062753298747
Newton,calibration,2,comp80,1.0,20000,19999.99999929532,5.000015297064786e-05
Newton,calibration,2,comp80,1.3,20000,19048.26490188109,9.786799474464842e-05
Newton,calibration,2,comp80,1.6,20000,16421.873286406826,0.00018245755034726436
Newton,calibration,2,comp80,1.15,20000,19762.98084024815,7.036899792573055e-05
Newton,calibration,2,comp80,1.45,20000,17900.439175627518,0.0001344603427143658
Newton,calibration,2,pure,1.0,20000,19999.999999527627,5.000013016760029e-05
Newton,calibration,2,pure,1.3,20000,19056.00644458593,9.31466019044588e-05
Newton,calibration,2,pure,1.6,20000,16441.921366277533,0.00016534076890441015
Newton,calibration,2,pure,1.15,20000,19765.29251546628,6.864749160291831e-05
Newton,calibration,2,pure,1.45,20000,17914.615737401753,0.00012486696614819498
Newton,fitting,0,comp40,1.0,20000,19999.999999348645,5.0000147843135137e-05
Newton,fitting,0,comp40,1.3,20000,19054.717240065827,0.00010077029475216537
Newton,fitting,0,comp40,1.6,20000,16435.619728319576,0.0001935091302820134
Newton,fitting,0,comp40,1.15,20000,19764.89466774731,7.140059558867518e-05
Newton,fitting,0,comp40,1.45,20000,17911.638029190904,0.00014050588566661093
Newton,fitting,0,comp80,1.0,20000,19999.999999347154,5.000014719170231e-05
Newton,fitting,0,comp80,1.3,20000,19024.84280892619,9.684490820123554e-05
Newton,fitting,0,comp80,1.6,20000,16320.722156256757,0.00017844457542644796
Newton,fitting,0,comp80,1.15,20000,19758.028358009058,7.00086993797155e-05
Newton,fitting,0,comp80,1.45,20000,17843.48231368025,0.00013230048132353836
Newton,fitting,0,pure,1.0,20000,19999.999999534222,5.000012973098411e-05
Newton,fitting,0,pure,1.3,20000,19068.16969728826,9.533805346662802e-05
Newton,fitting,0,pure,1.6,20000,16485.05337018826,0.00017332683584716886
Newton,fitting,0,pure,1.15,20000,19768.342641360585,6.944415483960309e-05
Newton,fitting,0,pure,1.45,20000,17940.879703733048,0.0001293315597712493
Newton,test,1,comp160,1.0,20000,19999.999999308708,5.000015181740686e-05
Newton,test,1,comp160,1.3,20000,19025.002936420646,9.5197189049035e-05
Newton,test,1,comp160,1.6,20000,16337.472264939366,0.000172424349680516
Newton,test,1,comp160,1.15,20000,19757.42065579367,6.94118930039481e-05
Newton,test,1,comp160,1.45,20000,17849.06254046564,0.00012893624217592486
Newton,test,1,comp40,1.0,20000,19999.999999362717,5.0000146178631946e-05
Newton,test,1,comp40,1.3,20000,19051.426675561805,9.682769197060638e-05
Newton,test,1,comp40,1.6,20000,16422.95315795409,0.00017863194535659883
Newton,test,1,comp40,1.15,20000,19764.183740268916,6.999127260622302e-05
Newton,test,1,comp40,1.45,20000,17903.994653556252,0.00013233282178186514
Newton,test,1,comp60,1.0,20000,19999.99999935985,5.000014679440133e-05
Newton,test,1,comp60,1.3,20000,19045.507802314984,9.360729375818645e-05
Newton,test,1,comp60,1.6,20000,16403.42937918343,0.0001668911107062903
Newton,test,1,comp60,1.15,20000,19762.602433958502,6.88211482693174e-05
Newton,test,1,comp60,1.45,20000,17891.8334415677,0.0001257696926091334
Newton,test,1,comp80,1.0,20000,19999.999999376465,5.000014704859098e-05
Newton,test,1,comp80,1.3,20000,19045.810106205772,9.624925063284855e-05
Newton,test,1,comp80,1.6,20000,16415.751928635807,0.00017644696149876602
Newton,test,1,comp80,1.15,20000,19762.37616609307,6.978608932777085e-05
Newton,test,1,comp80,1.45,20000,17895.65256200165,0.0001311310956917435
Newton,test,1,pure,1.0,20000,19999.999999535386,5.0000129104446286e-05
Newton,test,1,pure,1.3,20000,19061.636122605716,9.44481477214979e-05
Newton,test,1,pure,1.6,20000,16460.1937941406,0.00017004464737956405
Newton,test,1,pure,1.15,20000,19766.794252596912,6.912266269194135e-05
Newton,test,1,pure,1.45,20000,17926.146706900035,0.00012750779901625698
Newton,test,2,comp160,1.0,20000,19999.99999938691,5.000014666479618e-05
Newton,test,2,comp160,1.3,20000,19055.36245148107,9.647119483553561e-05
Newton,test,2,comp160,1.6,20000,16457.229275326696,0.00017735556152489424
Newton,test,2,comp160,1.15,20000,19764.39272615482,6.986195413672301e-05
Newton,test,2,comp160,1.45,20000,17918.93297059603,0.0001316100884401616
Newton,test,2,comp40,1.0,20000,19999.999999354393,5.000015021353966e-05
Newton,test,2,comp40,1.3,20000,19040.515706332666,9.323474333261776e-05
Newton,test,2,comp40,1.6,20000,16404.686080368145,0.00016552586439960045
Newton,test,2,comp40,1.15,20000,19760.772235341596,6.868642360332222e-05
Newton,test,2,comp40,1.45,20000,17886.622365925115,0.0001250069303274345
Newton,test,2,comp60,1.0,20000,19999.999999377516,5.000014562743795e-05
Newton,test,2,comp60,1.3,20000,19041.145325488887,9.768177346671014e-05
Newton,test,2,comp60,1.6,20000,16374.968369976434,0.00018169741518140678
Newton,test,2,comp60,1.15,20000,19762.130092712618,7.030324271906712e-05
Newton,test,2,comp60,1.45,20000,17877.872223282324,0.00013406184420398327
Newton,test,2,comp80,1.0,20000,19999.999999345277,5.000015103174321e-05
Newton,test,2,comp80,1.3,20000,19026.868095089292,9.410156777239056e-05
Newton,test,2,comp80,1.6,20000,16349.242345332075,0.00016849130330541813
Newton,test,2,comp80,1.15,20000,19757.761038535074,6.901144148448628e-05
Newton,test,2,comp80,1.45,20000,17854.533655403313,0.00012671956722097726
Newton,test,2,pure,1.0,20000,19999.99999950547,5.00001323783855e-05
Newton,test,2,pure,1.3,20000,19049.018320853553,9.326729243398238e-05
Newton,test,2,pure,1.6,20000,16413.02337250591,0.0001657125215020516
Newton,test,2,pure,1.15,20000,19763.90258971455,6.869357770371984e-05
Newton,test,2,pure,1.45,20000,17897.611589332137,0.00012509512439874123
QUMOND,calibration,0,comp40,1.0,20000,19630.861287794967,7.351391304293175e-05
QUMOND,calibration,0,comp40,1.3,20000,19330.697505638214,7.582445035531296e-05
QUMOND,calibration,0,comp40,1.6,20000,17461.99977970801,0.00010190751749526758
QUMOND,calibration,0,comp40,1.15,20000,19700.10902143589,7.032700921516057e-05
QUMOND,calibration,0,comp40,1.45,20000,18558.65707181608,8.604839051770586e-05
QUMOND,calibration,0,comp80,1.0,20000,19630.593013616548,7.264711159399141e-05
QUMOND,calibration,0,comp80,1.3,20000,19324.988688566693,7.58265125039506e-05
QUMOND,calibration,0,comp80,1.6,20000,17448.87413628366,0.000101598332298998
QUMOND,calibration,0,comp80,1.15,20000,19698.799546280778,7.10171796916272e-05
QUMOND,calibration,0,comp80,1.45,20000,18547.94472937997,8.550071605138154e-05
QUMOND,calibration,0,pure,1.0,20000,19649.375487193203,7.316289664181193e-05
QUMOND,calibration,0,pure,1.3,20000,19301.754885447946,7.498674986106146e-05
QUMOND,calibration,0,pure,1.6,20000,17369.089114242426,0.00010461399302773739
QUMOND,calibration,0,pure,1.15,20000,19698.346089563776,7.018341225795614e-05
QUMOND,calibration,0,pure,1.45,20000,18497.63485077555,8.648714190434415e-05
QUMOND,calibration,1,comp40,1.0,20000,19627.09892414919,7.305239291422887e-05
QUMOND,calibration,1,comp40,1.3,20000,19332.750822000187,7.532775133329322e-05
QUMOND,calibration,1,comp40,1.6,20000,17446.629613520166,0.0001029786860843589
QUMOND,calibration,1,comp40,1.15,20000,19700.870772182487,7.066198183811514e-05
QUMOND,calibration,1,comp40,1.45,20000,18555.562527224887,8.560506505145017e-05
QUMOND,calibration,1,comp80,1.0,20000,19627.184302462792,7.303183318767917e-05
QUMOND,calibration,1,comp80,1.3,20000,19335.524688641533,7.542421628614336e-05
QUMOND,calibration,1,comp80,1.6,20000,17483.36496318703,0.00010186520901066292
QUMOND,calibration,1,comp80,1.15,20000,19700.8443262471,7.112558975278051e-05
QUMOND,calibration,1,comp80,1.45,20000,18569.763676116752,8.415235296520832e-05
QUMOND,calibration,1,pure,1.0,20000,19658.83938186302,7.317421866973457e-05
QUMOND,calibration,1,pure,1.3,20000,19307.096887310385,7.721176311807453e-05
QUMOND,calibration,1,pure,1.6,20000,17351.597543907563,0.00010553371662110293
QUMOND,calibration,1,pure,1.15,20000,19707.014758927275,7.084977189229951e-05
QUMOND,calibration,1,pure,1.45,20000,18494.79570226378,8.612560757992144e-05
QUMOND,calibration,2,comp40,1.0,20000,19635.992564422897,7.3037044866727e-05
QUMOND,calibration,2,comp40,1.3,20000,19327.791725940362,7.539147717999307e-05
QUMOND,calibration,2,comp40,1.6,20000,17470.709954492228,0.00010225603562993801
QUMOND,calibration,2,comp40,1.15,20000,19699.610351415085,7.057558272844886e-05
