mode,rule,cells,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass,worst_correct,worst_correct_identity,worst_correct_wilson_lo,worst_correct_wilson_hi,worst_wrong,worst_wrong_identity,worst_wrong_wilson_lo,worst_wrong_wilson_hi,worst_true_retained,worst_true_retained_identity,worst_true_retained_wilson_lo,worst_true_retained_wilson_hi,maximum_both_retained_rate,maximum_both_rejected_rate,maximum_raw_fitting_empty_fraction_mean,maximum_near_best_true_mean
full66,baseline,540,540,532,532,532,488,488,0.975,"{""beta"": ""1.0"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""326012001""}",0.9633547107321566,0.9830098687065659,0.009,"{""beta"": ""1.0"", ""f"": ""0.0"", ""gravity"": ""Newton"", ""mode"": ""full66"", ""prior"": """", ""realization"": ""2"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""326000001""}",0.004742060667477063,0.01701581616533807,0.975,"{""beta"": ""1.0"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""326012001""}",0.9633547107321566,0.9830098687065659,0.003,0.024,0.000803,1.536
no_diagnostics66,baseline,540,540,534,534,540,469,469,0.985,"{""beta"": ""1.15"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""no_diagnostics66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""baseline"", ""scenario"": ""uniform_white"", ""seed"": ""326141001""}",0.9753990230730932,0.9908890211959184,0.001,"{""beta"": ""1.15"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""no_diagnostics66"", ""prior"": ""60"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""uniform_white"", ""seed"": ""325040001""}",0.00017654637062607809,0.0056425585979579355,0.985,"{""beta"": ""1.15"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""no_diagnostics66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""baseline"", ""scenario"": ""uniform_white"", ""seed"": ""326141001""}",0.9753990230730932,0.9908890211959184,0.0,0.015,0.000237,2.504
full34,baseline,540,536,533,529,489,449,439,0.926,"{""beta"": ""1.45"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full34"", ""prior"": ""160"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""325044001""}",0.9080945943544141,0.940645007415893,0.009,"{""beta"": ""1.3"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full34"", ""prior"": ""160"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""uniform_white"", ""seed"": ""325025001""}",0.004742060667477063,0.01701581616533807,0.986,"{""beta"": ""1.6"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full34"", ""prior"": ""80"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""uniform_white"", ""seed"": ""325036001""}",0.9766379658824644,0.9916424248695761,0.073,0.01,0.0010509999999999999,1.53
covariates_only66,baseline,540,0,506,0,0,375,0,0.0,"{""beta"": ""1.3"", ""f"": ""0.225"", ""gravity"": ""QUMOND"", ""mode"": ""covariates_only66"", ""prior"": ""60"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""uniform_white"", ""seed"": ""325120001""}",2.168404344971009e-19,0.0038267584855551234,0.022,"{""beta"": ""1.45"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""covariates_only66"", ""prior"": ""160"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""325144001""}",0.014572707764791058,0.03308567334739963,0.977,"{""beta"": ""1.45"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""covariates_only66"", ""prior"": ""160"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""325144001""}",0.9657235493377733,0.9846257230670071,1.0,0.005,0.0,14.679
conditional66,baseline,540,528,535,525,502,501,480,0.901,"{""beta"": ""1.6"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""conditional66"", ""prior"": ""40"", ""realization"": ""1"", ""rule"": ""baseline"", ""scenario"": ""clustered_correlated"", ""seed"": ""325135001""}",0.8809263810632503,0.9180045586313347,0.025,"{""beta"": ""1.0"", ""f"": ""0.0"", ""gravity"": ""Newton"", ""mode"": ""conditional66"", ""prior"": """", ""realization"": ""2"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""326000001""}",0.016990131293434067,0.0366452892678433,0.973,"{""beta"": ""1.0"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""conditional66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""baseline"", ""scenario"": ""sparse_floor"", ""seed"": ""326012001""}",0.9610012692469598,0.9813786172257051,0.094,0.017,0.000803,2.749
full66,envelope,540,540,537,537,531,501,501,0.981,"{""beta"": ""1.0"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""sparse_floor"", ""seed"": ""326012001""}",0.9705155440876868,0.9878031142492091,0.01,"{""beta"": ""1.0"", ""f"": ""0.0"", ""gravity"": ""Newton"", ""mode"": ""full66"", ""prior"": """", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""sparse_floor"", ""seed"": ""326000001""}",0.005440754445529249,0.018309468870314774,0.981,"{""beta"": ""1.0"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""sparse_floor"", ""seed"": ""326012001""}",0.9705155440876868,0.9878031142492091,0.003,0.017,0.000803,1.536
no_diagnostics66,envelope,540,540,538,538,540,493,493,0.987,"{""beta"": ""1.15"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""no_diagnostics66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""uniform_white"", ""seed"": ""326141001""}",0.9778855576244203,0.9923871796106489,0.001,"{""beta"": ""1.15"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""no_diagnostics66"", ""prior"": ""60"", ""realization"": ""1"", ""rule"": ""envelope"", ""scenario"": ""uniform_white"", ""seed"": ""325040001""}",0.00017654637062607809,0.0056425585979579355,0.987,"{""beta"": ""1.15"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""no_diagnostics66"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""uniform_white"", ""seed"": ""326141001""}",0.9778855576244203,0.9923871796106489,0.0,0.013,0.000237,2.504
full34,envelope,540,535,538,533,495,485,468,0.927,"{""beta"": ""1.45"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full34"", ""prior"": ""160"", ""realization"": ""1"", ""rule"": ""envelope"", ""scenario"": ""sparse_floor"", ""seed"": ""325044001""}",0.9091909744657494,0.9415409737875866,0.007,"{""beta"": ""1.3"", ""f"": ""0.0"", ""gravity"": ""Newton"", ""mode"": ""full34"", ""prior"": """", ""realization"": ""1"", ""rule"": ""envelope"", ""scenario"": ""uniform_white"", ""seed"": ""325013001""}",0.0033948684009907646,0.014378315465766588,0.988,"{""beta"": ""1.45"", ""f"": ""0.3"", ""gravity"": ""Newton"", ""mode"": ""full34"", ""prior"": ""160"", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""uniform_white"", ""seed"": ""326044001""}",0.9791427315245017,0.9931223521935965,0.073,0.009,0.0010509999999999999,1.53
covariates_only66,envelope,540,0,528,0,0,436,0,0.0,"{""beta"": ""1.3"", ""f"": ""0.0"", ""gravity"": ""QUMOND"", ""mode"": ""covariates_only66"", ""prior"": """", ""realization"": ""1"", ""rule"": ""envelope"", ""scenario"": ""uniform_white"", ""seed"": ""325113001""}",2.168404344971009e-19,0.0038267584855551234,0.014,"{""beta"": ""1.6"", ""f"": ""0.075"", ""gravity"": ""QUMOND"", ""mode"": ""covariates_only66"", ""prior"": ""60"", ""realization"": ""1"", ""rule"": ""envelope"", ""scenario"": ""clustered_correlated"", ""seed"": ""325129001""}",0.00835757513042392,0.02336203411753566,0.984,"{""beta"": ""1.6"", ""f"": ""0.075"", ""gravity"": ""QUMOND"", ""mode"": ""covariates_only66"", ""prior"": ""60"", ""realization"": ""1"", ""rule"": ""envelope"", ""scenario"": ""clustered_correlated"", ""seed"": ""325129001""}",0.97416793978826,0.9901277579977227,1.0,0.004,0.0,14.679
conditional66,envelope,540,528,537,527,508,514,492,0.901,"{""beta"": ""1.6"", ""f"": ""0.3"", ""gravity"": ""QUMOND"", ""mode"": ""conditional66"", ""prior"": ""40"", ""realization"": ""1"", ""rule"": ""envelope"", ""scenario"": ""clustered_correlated"", ""seed"": ""325135001""}",0.8809263810632503,0.9180045586313347,0.021,"{""beta"": ""1.0"", ""f"": ""0.0"", ""gravity"": ""Newton"", ""mode"": ""conditional66"", ""prior"": """", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""sparse_floor"", ""seed"": ""326000001""}",0.013775739567924286,0.03189029506123752,0.979,"{""beta"": ""1.0"", ""f"": ""0.0"", ""gravity"": ""Newton"", ""mode"": ""conditional66"", ""prior"": """", ""realization"": ""2"", ""rule"": ""envelope"", ""scenario"": ""sparse_floor"", ""seed"": ""326000001""}",0.9681097049387625,0.9862242604320758,0.094,0.013,0.000803,2.749
