gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,rule,mode,scenario,N_catalogues,N_parent,correct,wrong,indeterminate,both_retained,both_rejected,true_retained,raw_fitting_empty_fraction_mean,near_best_true_mean,near_best_other_mean,correct_rate,correct_wilson_lo,correct_wilson_hi,wrong_rate,wrong_wilson_lo,wrong_wilson_hi,indeterminate_rate,indeterminate_wilson_lo,indeterminate_wilson_hi,true_retained_rate,true_retained_wilson_lo,true_retained_wilson_hi,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,full66,uniform_white,1000,1000,1000,0,0,0,0,1000,0.000146,1.017,1.014,1.0,0.996173241514445,1.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,full66,clustered_correlated,1000,1000,1000,0,0,0,0,1000,0.00016800000000000002,1.016,1.013,1.0,0.996173241514445,1.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,full66,sparse_floor,1000,1000,999,1,0,0,0,999,0.000211,1.01,1.012,0.999,0.9943574414020421,0.9998234536293739,0.001,0.00017654637062607809,0.0056425585979579355,0.0,2.168404344971009e-19,0.0038267584855551234,0.999,0.9943574414020421,0.9998234536293739,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,no_diagnostics66,uniform_white,1000,1000,1000,0,0,0,0,1000,9.900000000000001e-05,1.014,1.012,1.0,0.996173241514445,1.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,no_diagnostics66,clustered_correlated,1000,1000,1000,0,0,0,0,1000,5.5e-05,1.01,1.01,1.0,0.996173241514445,1.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,no_diagnostics66,sparse_floor,1000,1000,1000,0,0,0,0,1000,0.0,1.008,1.009,1.0,0.996173241514445,1.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,full34,uniform_white,1000,1000,974,5,21,21,0,995,0.0,1.01,1.018,0.974,0.9621761711573101,0.9821960617983837,0.005,0.0021375355273244596,0.011650955373375113,0.021,0.013775739567924286,0.03189029506123752,0.995,0.9883490446266249,0.9978624644726756,True,True,True,False,False,False
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,full34,clustered_correlated,1000,1000,986,1,13,13,0,999,0.0,1.011,1.014,0.986,0.9766379658824644,0.9916424248695761,0.001,0.00017654637062607809,0.0056425585979579355,0.013,0.0076128203893510256,0.022114442375579666,0.999,0.9943574414020421,0.9998234536293739,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,full34,sparse_floor,1000,1000,971,1,28,28,0,999,0.0,1.021,1.018,0.971,0.9586616416633058,0.9797335518433012,0.001,0.00017654637062607809,0.0056425585979579355,0.028,0.019442276812770925,0.04017018319759311,0.999,0.9943574414020421,0.9998234536293739,True,True,True,True,True,True
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,baseline,covariates_only66,uniform_white,1000,1000,15,1,984,984,0,999,0.0,13.103,14.413,0.015,0.009110978804081668,0.024600976926906798,0.001,0.00017654637062607809,0.0056425585979579355,0.984,0.97416793978826,0.9901277579977227,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False
