gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,comparison_type,first_rule,first_mode,second_rule,second_mode,scenario,N_catalogues,same_decision,difference_direction,correct_first_only,correct_second_only,correct_difference,wrong_first_only,wrong_second_only,wrong_difference,indeterminate_first_only,indeterminate_second_only,indeterminate_difference
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,no_diagnostics66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,no_diagnostics66,sparse_floor,1000,999,first_minus_second,0,1,-0.0010000000000000009,1,0,0.001,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,full34,uniform_white,1000,974,first_minus_second,26,0,0.026000000000000023,0,5,-0.005,0,21,-0.021
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,full34,clustered_correlated,1000,986,first_minus_second,14,0,0.014000000000000012,0,1,-0.001,0,13,-0.013
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,full34,sparse_floor,1000,971,first_minus_second,28,0,0.028000000000000025,1,1,0.0,0,28,-0.028
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,covariates_only66,uniform_white,1000,15,first_minus_second,985,0,0.985,0,1,-0.001,0,984,-0.984
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,covariates_only66,clustered_correlated,1000,18,first_minus_second,982,0,0.982,0,1,-0.001,0,981,-0.981
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,covariates_only66,sparse_floor,1000,18,first_minus_second,981,0,0.981,1,3,-0.002,0,979,-0.979
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,conditional66,uniform_white,1000,987,first_minus_second,13,0,0.013000000000000012,0,0,0.0,0,13,-0.013
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,conditional66,clustered_correlated,1000,998,first_minus_second,2,0,0.0020000000000000018,0,0,0.0,0,2,-0.002
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,baseline,full66,baseline,conditional66,sparse_floor,1000,987,first_minus_second,13,0,0.013000000000000012,0,1,-0.001,0,12,-0.012
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,envelope,full66,envelope,no_diagnostics66,uniform_white,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,envelope,full66,envelope,no_diagnostics66,clustered_correlated,1000,1000,first_minus_second,0,0,0.0,0,0,0.0,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,envelope,full66,envelope,no_diagnostics66,sparse_floor,1000,999,first_minus_second,0,1,-0.0010000000000000009,1,0,0.001,0,0,0.0
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,envelope,full66,envelope,full34,uniform_white,1000,972,first_minus_second,28,0,0.028000000000000025,0,5,-0.005,0,23,-0.023
Newton,0,test,1,1.0,0.0,,,fitted_grid,pure,0,325000001,information,envelope,full66,envelope,full34,clustered_correlated,1000,983,first_minus_second,17,0,0.017000000000000015,0,1,-0.001,0,16,-0.016
