extreme,gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,rule,mode,scenario,N_catalogues,N_parent,correct,wrong,indeterminate,both_retained,both_rejected,true_retained,raw_fitting_empty_fraction_mean,near_best_true_mean,near_best_other_mean,correct_rate,correct_wilson_lo,correct_wilson_hi,wrong_rate,wrong_wilson_lo,wrong_wilson_hi,indeterminate_rate,indeterminate_wilson_lo,indeterminate_wilson_hi,true_retained_rate,true_retained_wilson_lo,true_retained_wilson_hi,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass,evaluation_family
correct,Newton,0,test,2,1.0,0.3,,160,fitted_grid,outside_inner_prior,12,326012001,baseline,full66,sparse_floor,1000,1000,975,1,24,0,24,975,0.00033800000000000003,1.041,1.137,0.975,0.9633547107321566,0.9830098687065659,0.001,0.00017654637062607809,0.0056425585979579355,0.024,0.016180168466636995,0.03546290561161149,0.975,0.9633547107321566,0.9830098687065659,True,False,False,True,False,False,outside_inner_prior
wrong,Newton,0,test,2,1.0,0.0,,,fitted_grid,pure,0,326000001,baseline,full66,sparse_floor,1000,1000,984,9,7,0,7,984,4.8e-05,1.032,1.012,0.984,0.97416793978826,0.9901277579977227,0.009,0.004742060667477063,0.01701581616533807,0.007,0.0033948684009907646,0.014378315465766588,0.984,0.97416793978826,0.9901277579977227,True,False,False,False,False,False,fitted_family
true_retained,Newton,0,test,2,1.0,0.3,,160,fitted_grid,outside_inner_prior,12,326012001,baseline,full66,sparse_floor,1000,1000,975,1,24,0,24,975,0.00033800000000000003,1.041,1.137,0.975,0.9633547107321566,0.9830098687065659,0.001,0.00017654637062607809,0.0056425585979579355,0.024,0.016180168466636995,0.03546290561161149,0.975,0.9633547107321566,0.9830098687065659,True,False,False,True,False,False,outside_inner_prior
correct,QUMOND,1,test,2,1.15,0.3,,160,outside_beta_grid,outside_inner_prior,41,326141001,baseline,no_diagnostics66,uniform_white,1000,1000,985,0,15,0,15,985,8.7e-05,1.862,1.371,0.985,0.9753990230730932,0.9908890211959184,0.0,2.168404344971009e-19,0.0038267584855551234,0.015,0.009110978804081668,0.024600976926906798,0.985,0.9753990230730932,0.9908890211959184,True,False,False,True,False,False,outside_beta_grid
wrong,Newton,0,test,1,1.15,0.3,,60,outside_beta_grid,outside_inner_prior,40,325040001,baseline,no_diagnostics66,uniform_white,1000,1000,997,1,2,0,2,997,0.000124,1.876,2.222,0.997,0.9912169859464969,0.9989792161188614,0.001,0.00017654637062607809,0.0056425585979579355,0.002,0.000548643588120728,0.007262807863492177,0.997,0.9912169859464969,0.9989792161188614,True,True,True,True,True,True,outside_beta_grid
true_retained,QUMOND,1,test,2,1.15,0.3,,160,outside_beta_grid,outside_inner_prior,41,326141001,baseline,no_diagnostics66,uniform_white,1000,1000,985,0,15,0,15,985,8.7e-05,1.862,1.371,0.985,0.9753990230730932,0.9908890211959184,0.0,2.168404344971009e-19,0.0038267584855551234,0.015,0.009110978804081668,0.024600976926906798,0.985,0.9753990230730932,0.9908890211959184,True,False,False,True,False,False,outside_beta_grid
correct,Newton,0,test,1,1.45,0.3,,160,outside_beta_grid,outside_inner_prior,44,325044001,baseline,full34,sparse_floor,1000,1000,926,0,74,73,1,999,0.000769,1.198,1.115,0.926,0.9080945943544141,0.940645007415893,0.0,2.168404344971009e-19,0.0038267584855551234,0.074,0.05935499258410698,0.09190540564558597,0.999,0.9943574414020421,0.9998234536293739,False,True,False,False,True,False,outside_beta_grid
wrong,Newton,0,test,1,1.3,0.3,,160,fitted_grid,outside_inner_prior,25,325025001,baseline,full34,uniform_white,1000,1000,961,9,30,26,4,987,0.000624,1.077,1.211,0.961,0.9471306895804986,0.9713410390958196,0.009,0.004742060667477063,0.01701581616533807,0.03,0.0210937388288347,0.042503414147587126,0.987,0.9778855576244203,0.9923871796106489,True,False,False,False,False,False,outside_inner_prior
true_retained,Newton,0,test,1,1.6,0.3,,80,fitted_grid,fitted_prior,36,325036001,baseline,full34,uniform_white,1000,1000,955,9,36,31,5,986,0.00054,1.054,1.119,0.955,0.9403171620637766,0.9662004877143683,0.009,0.004742060667477063,0.01701581616533807,0.036,0.02611557140738732,0.049435660467207834,0.986,0.9766379658824644,0.9916424248695761,True,False,False,False,False,False,fitted_family
correct,QUMOND,1,test,1,1.3,0.225,,60,fitted_grid,outside_inner_prior,20,325120001,baseline,covariates_only66,uniform_white,1000,1000,0,0,1000,1000,0,1000,0.0,13.104,14.223,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
