fe,gamma,f_trip,E1,E2,E3,NV,NT
thermal,1.0,0.0,0.9856528111047083,0.9857253338902717,1.0,107958,118814
thermal,1.0,0.1,1.0435917433715178,1.0220464918698502,1.02,106262,120645
thermal,1.0,0.2,1.0840809872788735,1.0300996365096207,1.0,104699,122560
thermal,1.0,0.3,1.10969176208106,1.0264177549622964,1.0,103869,123750
thermal,1.4,0.0,1.2737433943513277,1.3454090995157435,1.2799999999999998,107364,118748
thermal,1.4,0.1,1.3053232484996493,1.3335323684942666,1.38,106580,119634
thermal,1.4,0.2,1.3323730084637484,1.3195182818955011,1.4,105295,121700
thermal,1.4,0.3,1.3841754965758002,1.3194370191701368,1.42,103676,123067
super,1.0,0.0,1.001830178934444,1.0090668066205943,1.0,107782,118618
super,1.0,0.1,1.0153880781279139,0.9914172361635448,1.0,106194,120801
super,1.0,0.2,1.0654214781847842,1.009955430957065,1.0,105138,122385
super,1.0,0.3,1.1018769614660322,1.0141561708395521,1.0,104021,123502
super,1.4,0.0,1.255751018687651,1.333357357752285,1.2999999999999998,107506,118617
super,1.4,0.1,1.3035308788126792,1.336080642007259,1.38,106177,119667
super,1.4,0.2,1.3398021717017747,1.3229779362532879,1.38,104134,121929
super,1.4,0.3,1.3718009485183347,1.3078893151229176,1.42,103602,123210
sdep,1.0,0.0,1.0054403358546888,1.0156319226356496,1.0,107711,118472
sdep,1.0,0.1,1.0425309465328112,1.0169657421688183,1.0,106828,119828
sdep,1.0,0.2,1.0893145500617838,1.0361358923214952,1.0,105177,121645
sdep,1.0,0.3,1.1286785801125883,1.0442361451669304,0.98,103546,123465
sdep,1.4,0.0,1.2595673956150422,1.3337340157100597,1.2799999999999998,107808,117953
sdep,1.4,0.1,1.316486437754175,1.361739814622057,1.38,106121,119629
sdep,1.4,0.2,1.3622182815751958,1.352865526069737,1.4,104679,121369
sdep,1.4,0.3,1.4043236260516503,1.3613150818099222,1.42,103765,122532
