fe,gamma,f_trip,E1,E2,E3,NV,NT
thermal,1.0,0.0,1.0054690007150362,1.0085394728131298,1.0,108165,118854
thermal,1.0,0.1,1.0208366628750996,0.9935253049345848,1.0,106387,120318
thermal,1.0,0.2,1.0727659395072409,1.0185641252968638,1.0,104964,121908
thermal,1.0,0.3,1.1088003312287527,1.0239440424496424,1.0,103740,123484
thermal,1.4,0.0,1.2548623537342913,1.3203793210691233,1.38,108043,118225
thermal,1.4,0.1,1.2859596333306451,1.3105367066874656,1.3599999999999999,106362,120409
thermal,1.4,0.2,1.3310655442515171,1.317465463595623,1.38,105174,122084
thermal,1.4,0.3,1.3657838583307524,1.3114211609291255,1.38,103527,123151
super,1.0,0.0,0.9886066932127578,0.9902192284487105,0.98,107238,119032
super,1.0,0.1,1.0363468698593772,1.0071137881128622,0.98,106251,120762
super,1.0,0.2,1.0615055238963915,1.0023049010862015,0.98,104857,122566
super,1.0,0.3,1.1061050072413696,1.0217950247793284,1.0,103065,124144
super,1.4,0.0,1.2401596919002298,1.3061950628812484,1.3599999999999999,107633,118514
super,1.4,0.1,1.2993970316633627,1.3259873509823252,1.4,106058,119938
super,1.4,0.2,1.3449808473727358,1.3451826699482312,1.38,104442,122054
super,1.4,0.3,1.3768837455906278,1.3279577903840398,1.38,103313,123385
sdep,1.0,0.0,1.0020448043562535,1.0085886060280977,1.0,107696,118535
sdep,1.0,0.1,1.0348600883836971,1.0151912085350876,1.0,106390,120359
sdep,1.0,0.2,1.0917246631895003,1.0375213750910541,1.0,104743,121842
sdep,1.0,0.3,1.1276760010036988,1.0442235391626886,1.0,103706,123328
sdep,1.4,0.0,1.2651397505672337,1.3406251112046212,1.38,107013,118448
sdep,1.4,0.1,1.2985278853307947,1.3318906534086954,1.38,105939,119625
sdep,1.4,0.2,1.3520896469830603,1.3456591177704995,1.38,104366,121572
sdep,1.4,0.3,1.3876994738039496,1.3267404766712025,1.3599999999999999,103166,122962
